service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TR13_SERVICE,1,1,1,1,1,1,1,20260101,20261231
B_9,0,0,0,1,0,0,1,20241201,20251231
B_8,1,1,1,0,1,1,0,20241201,20251231
B_7,0,0,0,1,0,1,1,20241201,20251231
B_6,1,1,1,0,1,0,0,20241201,20251231
B_5,0,0,0,0,0,1,1,20241201,20251231
B_4,1,1,1,1,1,1,0,20241201,20251231
B_0,1,1,1,1,1,1,1,20241201,20251231
B_3,0,0,0,0,0,0,1,20241201,20251231
B_2,0,0,0,0,0,1,0,20241201,20251231
B_1,1,1,1,1,1,0,0,20241201,20251231
B_B,0,1,0,0,0,1,0,20241201,20251231
B_A,1,0,1,1,1,0,0,20241201,20251231
