trip_id,start_time,end_time,headway_secs,exact_times
TR13_TRIP_1,05:00:00,23:00:00,600,
B_055115O000_1,05:15:00,18:30:00,1800,0.0
B_055115O000_0,05:15:00,18:30:00,1800,0.0
B_051115O000_1,05:00:00,19:00:00,1800,0.0
B_051115O000_0,05:00:00,19:00:00,1800,0.0
B_050115N000_1,24:00:00,29:00:00,900,0.0
B_050115N000_0,24:00:00,29:00:00,900,0.0
B_08300L3000_1,07:00:00,23:00:00,300,0.0
B_08300L3000_0,07:00:00,23:00:00,300,0.0
B_08200L3000_1,06:00:00,23:00:00,300,0.0
B_08200L3000_0,06:00:00,23:00:00,300,0.0
B_08100L3000_1,05:00:00,23:00:00,300,0.0
B_08100L3000_0,05:00:00,23:00:00,300,0.0
B_053SEL1004_1,07:00:00,24:00:00,300,0.0
B_053SEL1004_0,07:00:00,24:00:00,300,0.0
B_052SEL1004_1,06:00:00,24:00:00,300,0.0
B_052SEL1004_0,06:00:00,24:00:00,300,0.0
B_051SEL1004_1,05:00:00,24:00:00,300,0.0
B_051SEL1004_0,05:00:00,24:00:00,300,0.0
B_053SEL1003_1,07:00:00,24:00:00,300,0.0
B_053SEL1003_0,07:00:00,24:00:00,300,0.0
B_052SEL1003_1,06:00:00,24:00:00,300,0.0
B_052SEL1003_0,06:00:00,24:00:00,300,0.0
B_051SEL1003_1,05:00:00,24:00:00,300,0.0
B_051SEL1003_0,05:00:00,24:00:00,300,0.0
B_053SEL1002_1,07:00:00,24:00:00,300,0.0
B_053SEL1002_0,07:00:00,24:00:00,300,0.0
B_052SEL1002_1,06:00:00,24:00:00,300,0.0
B_052SEL1002_0,06:00:00,24:00:00,300,0.0
B_051SEL1002_1,05:00:00,24:00:00,300,0.0
B_051SEL1002_0,05:00:00,24:00:00,300,0.0
B_053SEL1001_1,07:00:00,24:00:00,300,0.0
B_053SEL1001_0,07:00:00,24:00:00,300,0.0
B_052SEL1001_1,06:00:00,24:00:00,300,0.0
B_052SEL1001_0,06:00:00,24:00:00,300,0.0
B_051SEL1001_1,05:00:00,24:00:00,300,0.0
B_051SEL1001_0,05:00:00,24:00:00,300,0.0
B_02300L9000_1,07:00:00,24:00:00,180,0.0
B_02300L9000_0,07:00:00,24:00:00,180,0.0
B_02200L9000_1,06:00:00,24:00:00,180,0.0
B_02200L9000_0,06:00:00,24:00:00,180,0.0
B_02100L9000_1,05:00:00,24:00:00,180,0.0
B_02100L9000_0,05:00:00,24:00:00,180,0.0
B_1000001000_1,06:00:00,23:00:00,900,0.0
B_1000001000_0,06:00:00,23:00:00,900,0.0
B_04400L5001_1,18:00:00,22:00:00,480,0.0
B_04400L5001_0,18:00:00,22:00:00,480,0.0
B_04400L5001_1,06:00:00,10:00:00,480,0.0
B_04400L5001_0,06:00:00,10:00:00,480,0.0
B_04300L8000_0,06:00:00,23:30:00,480,0.0
B_0400L10000_1,05:00:00,24:00:00,200,0.0
B_0400L10000_0,05:00:00,24:00:00,200,0.0
