route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
TR13,SEMOVI,13,Trolebús Línea 13,11,009B3A,FFFFFF
B_CMX0800L3,CBB,3,Los Pinos/Constituyentes a Vasco de Quiroga,6,4EC3E0,FFFFFF
B_CMX100001,INTERURBANO,1,Zinacantepec - Santa Fe,2,83332E,FFFFFF
B_CMX040L12,TROLE,12,Tasqueña - Perisur,3,1F5AF0,FFFFFF
B_CMX01022D,CC,22D,Av. 5 Ermita - Metro Aeropuerto,3,9B26B6,FFFFFF
B_CMX01022C,CC,22C,Centro de Abasto - Metro Aeropuerto,3,9B26B6,FFFFFF
B_CMX01022B,CC,22B,UPIICSA - Metro Aeropuerto,3,9B26B6,FFFFFF
B_CMX01022A,CC,22A,Félix Parra Mixcoac - Metro Aeropuerto,3,9B26B6,FFFFFF
B_CMX01021D,CC,21D,Metro Observatorio - San Ángel Clínica 4 y 8,3,9B26B6,FFFFFF
B_CMX01021C,CC,21C,Barranca del Muerto - San Ángel,3,9B26B6,FFFFFF
B_CMX01021B,CC,21B,Chapultepec por Circuito - San Ángel,3,9B26B6,FFFFFF
B_CMX01021A,CC,21A,Chapultepec por Mazatlán - San Ángel,3,9B26B6,FFFFFF
B_CMX01020D,CC,20D,La Raza Línea 5 - Juanacatlán,3,9B26B6,FFFFFF
B_CMX01020C,CC,20C,La Raza Línea 3 - Juanacatlán,3,9B26B6,FFFFFF
B_CMX01020B,CC,20B,Tacubaya por Platino - Metro Aeropuerto,3,9B26B6,FFFFFF
B_CMX01020A,CC,20A,Metro Tacubaya - Metro Aeropuerto,3,9B26B6,FFFFFF
B_CMX010Z2J,CC,Z2J,Metro Tacubaya - Tepeaca,3,9B26B6,FFFFFF
B_CMX010Z2I,CC,Z2I,Metro Tacubaya - Cehuayo,3,9B26B6,FFFFFF
B_CMX010Z2H,CC,Z2H,Mixcoac - Queso,3,9B26B6,FFFFFF
B_CMX010Z2G,CC,Z2G,Mixcoac - Puerta Grande,3,9B26B6,FFFFFF
B_CMX010Z2F,CC,Z2F,Metro Mixcoac - San Bartolo,3,9B26B6,FFFFFF
B_CMX010Z2E,CC,Z2E,Metro Mixcoac - Puente Colorado,3,9B26B6,FFFFFF
B_CMX010Z2D,CC,Z2D,Metro Barranca del Muerto - Lomas de Tarango,3,9B26B6,FFFFFF
B_CMX010Z2C,CC,Z2C,Metro Barranca del Muerto - Bosques,3,9B26B6,FFFFFF
B_CMX010Z2B,CC,Z2B,Metro Barranca del Muerto - Llano Redondo,3,9B26B6,FFFFFF
