stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_040010-TULIPAN,Tulipán,19.342902,-99.057158,040010-TULIPAN,1
B_01020A00-CIRGPRIETO,Circuito Interior - Guillermo Prieto,19.438267,-99.168144,01020A00-CIRGPRIETO,0
B_0501070-JBARRERA,Juan de la Barrera,19.50992,-99.18857,0501070-JBARRERA,0
B_0300L4-20NOVIEMBR,20 de Noviembre,19.42932,-99.13402,0300L4-MSCIUDAD,1
B_0300L4-PINOSRZSR,Pino Suárez Sur,19.4261,-99.13421,0300L4-20NOVIEMBR,1
B_0300L4-SANPABLO,San Pablo,19.42558,-99.1307,0300L4-SANPABLO,1
B_0300L4-FRAYSERVND,Fray Servando,19.42364,-99.13097,0300L4-FRAYSERVND,1
B_0300L4-MSONORASUR,Mercado Sonora Sur,19.42311,-99.1267,0300L4-MSONORASUR,1
B_0501261-MCOPILCO,Metro Copilco,19.33635,-99.1776,0501261-MCOPILCO,0
B_0501261-PERFCOSUR,Periférico Sur,19.3315,-99.20981,0501261-PERFCOSUR,0
B_0501261-POLLITOS,Los Pollitos,19.30543,-99.23503,0501261-POLLITOS,0
B_0501261-JMORNSALID,José Moreno Salido,19.30505,-99.23748,0501261-JMORNSALID,0
B_0501261-LALOMA,La Loma,19.30463,-99.23996,0501261-LALOMA,0
B_0501261-MAGDALNC,Alcaldía Magdalena Contreras,19.30468,-99.24148,0501261-MAGDALNC,0
B_0501261-AVSNFCO,Av. San Francisco,19.30442,-99.24388,0501261-AVSNFCO,0
B_0501260-CCCONTRS,C. C. Contreras,19.3023,-99.24585,0501260-CCCONTRS,0
B_0501260-ADORHILDA,Andador Hilda,19.30391,-99.24126,0501260-ADORHILDA,0
B_0501260-CICLOPSTA,Ciclopista,19.30411,-99.23924,0501260-CICLOPSTA,0
B_0501260-ESTACION,La Estación,19.30475,-99.23724,0501260-ESTACION,0
B_0501260-PLZARTZ,Plaza Artz,19.31432,-99.22037,0501260-PLZARTZ,0
B_0501260-SAMS,SAMS,19.32668,-99.21249,0501260-SAMS,0
B_040010-ACAHUALT,Acahualtepec,19.35763,-99.00154,040010-ACAHUALT,0
B_040010-ACATITL,Acatitlán,19.35528,-99.00813,040010-ACATITL,0
B_040010-TECOLOXT,Tecoloxtitlán,19.35206,-99.01586,040010-TECOLOXT,0
B_040010-IZTAHUAT,Iztahuatzín,19.34876,-99.0185,040010-IZTAHUAT,0
B_040010-ATZINTLI,Atzintlí,19.34516,-99.02164,040010-ATZINTLI,0
B_040010-AZTAHUAC,Aztahuacán,19.34466,-99.02607,040010-AZTAHUAC,0
B_040010-PAPALOTL,Papalotl,19.34394,-99.03344,040010-PAPALOTL,0
B_040010-MEYEHUAL,Meyehualco,19.34319,-99.04125,040010-MEYEHUAL,0
B_040010-DVOSTACRUZ,Dvo. Santa Cruz,19.34246,-99.04888,040010-DVOSTACRUZ,0
B_040010-CONST1917,Constitución de 1917,19.3457,-99.06411,040010-CONST1917,0
B_0100L1-PANTITLAN,Pantitlán,19.41553,-99.07251,0100L1-PANTITLAN,2
B_090R11-PFILOSOFIA,Posgrado de Filosofía,19.33264,-99.19629,090R11-PFILOSOFIA,2
B_090R11-AAPAUNAM,AAPAUNAM,19.33437,-99.19536,090R11-AAPAUNAM,2
B_090R11-DIRGRALOBRAS,Dirección General de Obras y Proveeduría,19.33505,-99.19294,090R11-DIRGRALOBRAS,2
B_090R11-RELABORALES,Relaciones Laborales,19.33427,-99.19106,090R11-RELABORALES,2
B_0900R8-IIMAS,IIMAS,19.33066,-99.18076,0900R8-IIMAS,2
B_0900R8-FRONTONES,Frontones,19.33052,-99.18301,0900R8-FRONTONES,2
B_0900R8-INGENIERIA,Ingeniería,19.33054,-99.18463,0900R8-INGENIERIA,2
B_0900R8-ALBERCA,Alberca,19.33042,-99.1863,0900R8-ALBERCA,2
B_0900R8-CTROMEDICO,Centro Médico,19.33016,-99.18774,0900R8-CTROMEDICO,2
B_0900R6-CNOVERDE,Camino Verde,19.32563,-99.18199,0900R6-CNOVERDE,2
B_0900R6-ANEXOINGENI,Anexo de Ingeniería,19.32699,-99.18102,0900R6-ANEXOINGENI,2
B_0900R6-INVERNADERO,Invernadero,19.32898,-99.17992,0900R6-INVERNADERO,2
B_0900R6-CIENCIASMAR,Ciencias del Mar,19.32866,-99.17922,0900R6-CIENCIASMAR,2
B_0900R6-ICIENTIFICA,Investigación Científica,19.32645,-99.18048,0900R6-ICIENTIFICA,2
B_0900R6-MBCU,Metrobús CU,19.32299,-99.1893,0900R6-MBCU,2
B_0900R6-IBIOMEDICAS,Investigaciones Biomédicas,19.32312,-99.18968,0900R6-IBIOMEDICAS,2
B_0900R6-PUMITAS2,Pumitas,19.32448,-99.19486,0900R6-PUMITAS2,2
B_0900R6-PISTACALEN2,Pista de Calentamiento II,19.32637,-99.19488,0900R6-PISTACALEN2,2
B_0900R6-PISTACALEN,Pista de Calentamiento I,19.32629,-99.19435,0900R6-PISTACALEN,2
B_0900R6-PUMITAS,Pumitas,19.32452,-99.19424,0900R6-PUMITAS,2
B_0900R6-BASESTADOLIM,Base Estadio Olímpico,19.33354,-99.19057,0900R6-BASESTADOLIM,2
B_0900R6-ESTACIONAMT2,Estacionamiento 2,19.33347,-99.19324,0900R6-ESTACIONAMT2,2
B_0900R6-ESTACIONAMT3,Estacionamiento 3,19.33255,-99.19457,0900R6-ESTACIONAMT3,2
B_0900R6-ESTACIONAMT4,Estacionamiento 4,19.33124,-99.19417,0900R6-ESTACIONAMT4,2
B_0900R6-ESTACIONAMT6,Estacionamiento 6,19.33028,-99.19339,0900R6-ESTACIONAMT6,2
B_0900R6-ESTACIONAMT7,Estacionamiento 7,19.32914,-99.19239,0900R6-ESTACIONAMT7,2
B_0900R6-ESTACIONMT8,Estacionamiento 8,19.33003,-99.19048,0900R6-ESTACIONMT8,2
B_0900R6-MUCA,MUCA,19.33008,-99.18905,0900R6-MUCA,2
