route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id
TR13,TR13_SERVICE,TR13_TRIP_1,TR13_1,,,
B_CMX01001C,B_0,B_010001C000_1,B_SH01001C000_1, Canal de Chalco - Barranca del Muerto,C.Base Periférico Canal de Chalco to Base Barranca del Muerto,1.0
B_CMX01001C,B_0,B_010001C000_0,B_SH01001C000_0, Barranca del Muerto - Canal de Chalco,C.Base Barranca del Muerto to Base Periférico Canal de Chalco,0.0
B_CMX01001B,B_0,B_010001B000_1,B_SH01001B000_1, Canal de Chalco - Tacubaya,B.Base Periférico Canal de Chalco to Base Tacubaya,1.0
B_CMX01001B,B_0,B_010001B000_0,B_SH01001B000_0, Tacubaya - Canal de Chalco,B.Base Tacubaya to Base Periférico Canal de Chalco,0.0
B_CMX01001A,B_0,B_010001A000_1,B_SH01001A000_1, Canal de Chalco - Cuatro Caminos,A.Base Canal de Chalco to Base Cuatro Caminos,1.0
B_CMX01001A,B_0,B_010001A000_0,B_SH01001A000_0, Cuatro Caminos- Canal de Chalco,A. Base Cuatro Caminos to Base Periférico Canal de Chalco,0.0
B_CMX01002F,B_7,B_017002F000_1,B_SH01002F000_1,Moras - Taxqueña,CASSUR 19:47 to Base Cetram Taxqueña,1.0
B_CMX01002F,B_7,B_017002F000_0,B_SH01002F000_0,Taxqueña - Moras,CASSUR 19:47 to Base ISSFAM,0.0
B_CMX01002F,B_6,B_016002F000_1,B_SH01002F000_1,Moras - Taxqueña,CASSUR 19:47 to Base Cetram Taxqueña,1.0
B_CMX01002F,B_6,B_016002F000_0,B_SH01002F000_0,Taxqueña - Moras,CASSUR 19:47 to Base ISSFAM,0.0
B_CMX01002E,B_7,B_017002E000_1,B_SH01002E000_1,Moras - C.U. ,CASSUR 19:30 to Base Cetram CU,1.0
B_CMX01002E,B_7,B_017002E000_0,B_SH01002E000_0,C.U. - Moras,CASSUR 19:30 to Base ISSFAM,0.0
B_CMX01002E,B_6,B_016002E000_1,B_SH01002E000_1,Moras - C.U. ,CASSUR 19:30 to Base Cetram CU,1.0
B_CMX01002E,B_6,B_016002E000_0,B_SH01002E000_0,C.U. - Moras,CASSUR 19:30 to Base ISSFAM,0.0
B_CMX01002D,B_0,B_010002D000_1,B_SH01002D000_1,Taxqueña - Tlaxopan,CASSUR 15:17 to Base Cetram Taxqueña,1.0
B_CMX01002D,B_0,B_010002D000_0,B_SH01002D000_0,Tlaxopan - Taxqueña,CASSUR 15:17 to Base Tlaxopan,0.0
B_CMX01002C,B_0,B_010002C000_1,B_SH01002C000_1,Tlaxopan - C.U.,CASSUR 14:22 to Base Cetram CU,1.0
B_CMX01002C,B_0,B_010002C000_0,B_SH01002C000_0,C.U. - Tlaxopan,CASSUR 14:22 to Base Tlaxopan,0.0
B_CMX01002B,B_9,B_019002B000_1,B_SH01002B000_1,Pirul - C.U.,CASSUR 13:28 to Base Cetram CU,1.0
B_CMX01002B,B_9,B_019002B000_0,B_SH01002B000_0,C.U. - Pirul,CASSUR 13:28 to Base El Pirul,0.0
B_CMX01002B,B_8,B_018002B000_1,B_SH01002B000_1,Pirul - C.U.,CASSUR 13:28 to Base Cetram CU,1.0
B_CMX01002B,B_8,B_018002B000_0,B_SH01002B000_0,C.U. - Pirul,CASSUR 13:28 to Base El Pirul,0.0
B_CMX01002A,B_7,B_017002A000_1,B_SH01002A000_1,Pirul  - Taxqueña,CASSUR 12:51 to Base Cetram Taxqueña,1.0
B_CMX01002A,B_7,B_017002A000_0,B_SH01002A000_0,Taxqueña - Pirul ,CASSUR 12:51 to Base El Pirul,0.0
B_CMX01002A,B_6,B_016002A000_1,B_SH01002A000_1,Pirul  - Taxqueña,CASSUR 12:51 to Base Cetram Taxqueña,1.0
B_CMX01002A,B_6,B_016002A000_0,B_SH01002A000_0,Taxqueña - Pirul ,CASSUR 12:51 to Base El Pirul,0.0
B_CMX01003A,B_0,B_010003A000_1,B_SH01003A000_1,Politécnico - Iztacala,Metro Politécnico  to Reyes Iztacala,1.0
B_CMX01003A,B_0,B_010003A000_0,B_SH01003A000_0,Iztacala - Politécnico,Reyes Iztacala to Metro Politécnico ,0.0
B_CMX01004C,B_0,B_010004C000_1,B_SH01004C000_1,Alameda Oriente - Central de Abasto,Base Alameda Oriente to Base Central de Abasto,1.0
B_CMX01004C,B_0,B_010004C000_0,B_SH01004C000_0,Central de Abasto -  Alameda Oriente,Base Central de Abasto to Base Alameda Oriente,0.0
B_CMX01004B,B_0,B_010004B000_1,B_SH01004B000_1,Constitución - Canal de San Juan,Base Constitución to Base Canal de San Juan,1.0
B_CMX01004B,B_0,B_010004B000_0,B_SH01004B000_0, Canal de San Juan - Constitución,Base Canal de San Juan to Base Constitución,0.0
B_CMX01004A,B_0,B_010004A000_1,B_SH01004A000_1, Constitución - Alameda Oriente,Base Constitución to Base Alameda Oriente,1.0
B_CMX01004A,B_0,B_010004A000_0,B_SH01004A000_0, Alameda Oriente - Constitución,Base Alameda Oriente to Base Constitución,0.0
B_CMX01005A,B_0,B_010005A000_1,B_SH01005A000_1,Martín Carrera - Escuela Naval,Victoria to Escuela Naval M. y WalMart,1.0
B_CMX01005A,B_0,B_010005A000_0,B_SH01005A000_0,Escuela Naval - Martín Carrera,Escuela Naval to Martín Carrera ,0.0
B_CMX01006A,B_0,B_010006A000_1,B_SH01006A000_1,Barranca del Muerto - Ermita,Barranca del Muerto to Ermita,1.0
B_CMX01006A,B_0,B_010006A000_0,B_SH01006A000_0,Ermita - Barranca del Muerto,Ermita to Barranca del Muerto,0.0
B_CMX01007D,B_0,B_010007D000_1,B_SH01007D000_1,Chapultepec - Odontología por Av.504 por puente,D. Base Av. 504 to Metro Chapultepec,1.0
B_CMX01007D,B_0,B_010007D000_0,B_SH01007D000_0,Odontología - Chapultepec por Av.504 por puente,D. Metro Chapultepec to Base Av. 504,0.0
B_CMX01007C,B_0,B_010007C000_1,B_SH01007C000_1,Odontología por Av. 504 - Chapultepec,C. Base Av. 504 to Metro Chapultepec,1.0
B_CMX01007C,B_0,B_010007C000_0,B_SH01007C000_0,Chapultepec - Odontología por Av. 504,C. Metro Chapultepec to Base Av. 504,0.0
B_CMX01007B,B_0,B_010007B000_1,B_SH01007B000_1,Odontología - Chapultepec,B. Base Deportivo Oceanía to Metro Chapultepec,1.0
B_CMX01007B,B_0,B_010007B000_0,B_SH01007B000_0,Chapultepec - Odontología,B. Metro Chapultepec to Base Deportivo Oceanía ,0.0
B_CMX01007A,B_0,B_010007A000_1,B_SH01007A000_1,Odontología - Chapultepec por puente,A. Base Deportivo Oceanía  to Metro Chapultepec por puente,1.0
B_CMX01007A,B_0,B_010007A000_0,B_SH01007A000_0,Chapultepec - Odontología por puente,A. Metro Chapultepec to Base Deportivo Oceanía por puente,0.0
B_CMX01008D,B_0,B_010008D000_1,B_SH01008D000_1,Chapultepec - Tecamachalco ,D. Base Metro Chapultepec to Base Tecamachalco Superama Anáhuac,1.0
B_CMX01008D,B_0,B_010008D000_0,B_SH01008D000_0,Tecamachalco - Chapultepec,D. Base Tecamachalco to Base Metro Chapultepec,0.0
B_CMX01008C,B_0,B_010008C000_1,B_SH01008C000_1,Chapultepec - Duraznos ,C. Base Metro Chapultepec to Plaza Bosques,1.0
